,EXEC,MEM,GT,Pred
665,0.9012837538733954,0.6801661737783412,1.3858538205760291,1.3665887722612613
3451,0.8138645418326694,0.628190114068441,1.390511717330677,1.4834013683495733
676,0.40876494023904386,0.9399239543726233,1.0376488979872112,1.0400794247468954
1422,0.29652817302219703,0.9551330798479087,1.064072836236525,1.0469718597053137
1054,0.29914627205463856,0.956400506970849,1.0602273567986709,1.046380658715456
227,0.2585088218554354,0.9330291508238275,1.0306317169337138,1.0574096525235706
3071,0.8346613545816735,0.6345779467680608,1.4990994959803752,1.4692276119268932
670,0.29823562891291977,0.9462610899873255,1.0728200664614027,1.0491953592292456
4668,0.2981217985202049,0.9082382762991127,1.1145440991019238,1.0647594236076974
4685,0.8949977866312526,0.6808759329671877,1.3572183146475458,1.3647401651524533
1921,0.8258964143426295,0.6472648922686943,1.4833443351992606,1.4380439099913667
3364,0.2992601024473534,0.9591888466413181,1.055707450536672,1.0457255853815708
476,0.40762663631189533,0.92595690747782,1.0245383396184014,1.0463645200201883
2797,0.25941946499715424,0.9130038022813688,1.0422267242625718,1.0655445558794185
2619,0.39920318725099607,0.9378707224334599,1.0297795654849176,1.041876973611565
2682,0.2994877632327831,0.9875792141951837,1.0190370586192423,1.0417504311667027
4191,0.8818061088977426,0.6542796789184622,1.4203050691591077,1.4249365049026386
1950,0.2972111553784862,0.9716096324461343,1.0349191510430384,1.0436599558096482
2629,0.3964712578258396,0.9059315589353611,1.0473636506266222,1.0581125994483451
2716,0.40660216277746164,0.9201520912547526,1.054376500855488,1.0493573123666882
4682,0.297324985771201,0.9036755386565273,1.0862146124043537,1.0672575383022784
4660,0.29789413773477513,0.9561470215462611,1.0271619241374483,1.046577984296237
3299,0.3977233921457029,0.9137389100126743,1.0391270299288686,1.0535506996777309
3026,0.4063745019920319,0.9219771863117869,1.0443686133858694,1.0484458282151743
2611,0.8373705179282869,0.6464664131812421,1.4892815001051214,1.4406912421096996
2680,0.29880478087649404,0.9574144486692017,1.0340026041278276,1.0461793011823746
4666,0.4080819578827547,0.9370849176172369,1.0209359382822585,1.04131105492521
1230,0.3039271485486625,0.9741444866920151,1.0308892453485552,1.042497003445821
2393,0.49447922595332966,0.7946261089987325,1.147060336696872,1.1590444955168135
4501,0.8584329349269588,0.647300380228137,1.438029107845466,1.4400701529235507
1315,0.899402390438247,0.7407446134347274,1.2537701147637814,1.2426873588044063
4363,0.49049516220830963,0.7843092522179974,1.1641990389098655,1.1728672284188812
1425,0.9146525011066847,0.6849570483030558,1.3655671216791507,1.3565503157986374
1317,0.25771200910643144,0.9004309252217997,1.0665857433155452,1.0720359072071628
793,0.4953898690950484,0.8026869455006336,1.1251840478679276,1.148690664020397
1405,0.8180278884462151,0.7190969581749049,1.2635774038649354,1.2827384337547167
4807,0.2560045532157086,0.8912040557667933,1.0803859253843162,1.0774047236586264
1975,0.9075697211155379,0.7068757921419518,1.310855943494723,1.309484088654263
25,0.8693227091633469,0.6902186311787072,1.3162572306127611,1.3433261681614876
4365,0.8870296591412131,0.6858442472891142,1.3624962966220682,1.3534857164818308
2456,0.4084234490608993,0.9378453738910012,1.0367003369957102,1.0409607982838938
4199,0.39840637450199207,0.926489226869455,1.0429067151551707,1.0469715909813768
27,0.25737051792828686,0.8708238276299112,1.0945335417931783,1.0906749667458682
4361,0.8808322266489601,0.6787072243346007,1.393043785022977,1.3689216554300625
1550,0.2947068867387592,0.8762991128010139,1.1005418758321923,1.0845876682251046
1313,0.47899829254410936,0.8589353612167301,1.101162478305669,1.0880555353036758
4504,0.298918611269209,0.9586818757921419,1.0580851256195958,1.0458768312491538
315,0.8886232846392207,0.6936910294324743,1.3291389091272294,1.3366104015215106
3455,0.8431872509960159,0.6604309252217996,1.46588464235746,1.4083311034044224
1402,0.29823562891291977,0.9591888466413181,1.0437822793711171,1.045839283144454
2852,0.2947068867387592,0.926235741444867,1.0761809786523682,1.0566514612524238
1486,0.4067159931701764,0.9033460076045627,1.0616594725669704,1.058850907872531
2717,0.25668753557199775,0.9295817490494295,1.0468945881771166,1.0588231962754313
4653,0.4926579396698919,0.7794169835234475,1.155742424271033,1.1795949807328476
3072,0.2937962435970405,0.9647655259822561,1.0472173870238668,1.0452016910664472
1935,0.864099158919876,0.7073736093507956,1.3136924660647022,1.3072532895183784
3453,0.47785998861696083,0.7801013941698351,1.1425254309294963,1.1787484262513783
4949,0.39760956175298806,0.9157414448669201,1.0524260395966156,1.0524741856594875
3368,0.2952760387023336,0.9764258555133081,1.0539915703466278,1.0432491866468965
2715,0.8765825586542716,0.7032333474158569,1.337075269767864,1.3161332422750287
4659,0.3952191235059761,0.841723700887199,1.0954521889035778,1.1083662794227336
1939,0.3978372225384178,0.9118377693282634,1.0450298717954938,1.0545942479233101
698,0.2969834945930564,0.9705956907477821,1.070484803822117,1.043840028869667
669,0.3948776323278316,0.9138149556400507,1.0507448958328482,1.0537532336163298
4509,0.39760956175298806,0.917617237008872,1.045491232114809,1.0514780016441798
316,0.40341491178144573,0.9052724968314322,1.039931440506317,1.0579443125563328
692,0.2970973249857712,0.9642585551330798,1.0453875054165098,1.044920669092959
3075,0.9042939353696327,0.6723785382340514,1.3615139969200036,1.3842228249055628
101,0.8542718016821601,0.6620278833967046,1.3474297391372392,1.4052786824102323
697,0.2589641434262949,0.9346514575411912,1.0266012200227221,1.0568042194606622
4364,0.2994877632327832,0.9840304182509506,1.0285742168386962,1.0419855063325922
1929,0.3952191235059761,0.9167807351077311,1.0472083526739506,1.0521291232105048
693,0.4812749003984064,0.7816223067173635,1.1565678756817424,1.1766277472932085
581,0.8335546702080566,0.6453288269257851,1.4349869554723909,1.4431521741098914
585,0.8421425409473221,0.6766173778341079,1.3674626400567131,1.3717637037620944
2615,0.8702965914121291,0.6883875510491481,1.382001759981314,1.3473012715216832
588,0.2981217985202049,0.9728770595690749,1.0470954338342586,1.04336831627954
1959,0.4103585657370518,0.917363751584284,1.0431352680508759,1.050487793313302
1765,0.9276671093404164,0.7028981833544571,1.303782101718766,1.3183587676706616
4656,0.40341491178144573,0.8877313054499366,1.0717782803342732,1.0693983588398996
1762,0.2982356289129197,0.9728770595690746,1.0291208631764823,1.0433547446621159
1232,0.29880478087649404,0.9751584283903676,1.0269790845575328,1.0429789044735176
2612,0.2975526465566306,0.9328263624841571,1.0783890916593482,1.053787135619713
2795,0.8710048694112439,0.7041402619349387,1.3373901599262843,1.314089504846621
1923,0.48377916903813317,0.8084410646387833,1.1387541354428246,1.1418263211901802
4941,0.8209561752988048,0.6486134347275032,1.4611317631088914,1.4345340286187604
4946,0.4040978941377349,0.9208618504435996,1.0573026165287718,1.0492185430063303
2519,0.39760956175298806,0.9181242078580482,1.0342268220486588,1.0512123070477988
2452,0.297324985771201,0.9541191381495564,1.0519592468609138,1.0471367635666233
2724,0.29573136027319297,0.9609632446134346,1.0518814647277066,1.045735696100388
2398,0.29686966420034155,0.9254752851711027,1.0884321881013874,1.0567712674276866
3193,0.4940239043824702,0.7949302915082382,1.1479592537800343,1.1586550138291245
3230,0.298918611269209,0.9622306717363752,1.0274256739033854,1.0451150961620552
4805,0.8609119079238601,0.6868497394733134,1.3551319345610282,1.3502437532542726
4658,0.2966420034149118,0.9667934093789606,1.0616158749828375,1.0445073708452646
2494,0.29743881616391576,0.9003802281368821,1.0383289022371196,1.0690829529418657
3025,0.904382470119522,0.7122433460076045,1.2639646196955578,1.2983811790616846
3454,0.2969834945930564,0.9300380228136882,1.0602356834300788,1.0549113831169579
11,0.9079238601150953,0.6437515842839037,1.4242179852446106,1.4518581376753326
1977,0.25702902675014233,0.9209632446134347,1.0381961160421562,1.0622032499617822
22,0.2959590210586226,0.9302915082382762,1.0858955545847866,1.0549079960892955
1052,0.2912919749573136,0.8689480354879593,1.1113353846918184,1.0901283537834967
2518,0.2948207171314741,0.9406844106463876,1.0872691827526766,1.0512865528206792
4367,0.2595332953898691,0.9028136882129278,1.063990733793146,1.0706225216282448
3369,0.39635742743312463,0.9315589353612168,1.0354126667529833,1.0448418393849113
1973,0.48412066021627775,0.8060076045627376,1.1338646526271283,1.1448003994612455
1485,0.8600265604249668,0.7026813124911984,1.326775377106874,1.3167673716082007
586,0.4069436539556062,0.9414195183776933,1.0381318312149208,1.039672774724763
3362,0.29527603870233354,0.9523447401774398,1.0806855627927543,1.0478099697388128
4942,0.29937393284006836,0.9794676806083652,1.0574297669552932,1.0424103654085006
798,0.2926579396698919,0.9135614702154624,1.0959569394721416,1.0625269484722106
1319,0.39442231075697215,0.9132572877059568,1.0390393389640509,1.0540976684214987
4947,0.2595332953898691,0.9293789607097591,1.0395445933841512,1.0586363899331208
2495,0.8825143868968571,0.6526827207435572,1.3445066728884445,1.428760563810545
2721,0.8560159362549802,0.6555868187579214,1.4757090849414387,1.4203245505262978
221,0.822629482071713,0.6549835234474017,1.4618810316694217,1.4197242905409166
4651,0.8305179282868524,0.6510443599493029,1.4627917277066906,1.42941770287558
3292,0.2976664769493455,0.9612167300380228,1.0451539390685811,1.0454656765032055
1976,0.408651109846329,0.9297338403041825,1.0342002616343648,1.044485311476869
1429,0.3940808195788276,0.9234727503168567,1.0403188045013656,1.0488244760234164
2859,0.3900967558338077,0.9124207858048161,1.0595805165394692,1.0549263355235485
2858,0.2994877632327831,0.9756653992395438,1.0483795940708058,1.0428320190313913
20,0.29743881616391576,0.923954372623574,1.0808843358926468,1.0573637880116062
4688,0.2976664769493455,0.9330798479087452,1.0771379514650272,1.0536811870968337
792,0.2923164484917473,0.9371356147021546,1.0805510385157868,1.0527325273611887
4505,0.8901283753873395,0.707235600619631,1.31771546274624,1.3082614905402616
2620,0.2956175298804781,0.9538656527249684,1.0499817957668245,1.0473844692808596
2613,0.48924302788844626,0.8019169835234472,1.1752683335838798,1.1497877136910297
1970,0.29709732498577124,0.9378960709759188,1.0859051209655513,1.052001218244642
475,0.8854360336432048,0.6727925644275454,1.3498554306865185,1.382372739724742
3198,0.30017074558907236,0.9736375158428391,1.0465063996671622,1.0430173028348309
856,0.4069436539556062,0.9172116603295309,1.047533386018366,1.0508702096226994
3190,0.29459305634604444,0.946514575411914,1.0657963256064642,1.0494963416204972
3294,0.2999430848036426,0.9688212927756652,1.035958260636156,1.043776847462769
1953,0.5163346613545817,0.8047338403041825,1.1735616079029427,1.1456547974146378
4686,0.4093340922026181,0.9337896070975918,1.0357859662461946,1.042596301589449
3232,0.2976664769493455,0.9594423320659062,1.0420120297574351,1.0458465233712433
1057,0.2562322140011383,0.90106463878327,1.0673905958641978,1.0718045372789065
2120,0.2975526465566306,0.9543726235741445,1.0531596478422085,1.0470487618150992
17,0.2565737051792829,0.8939163498098857,1.0682705904783207,1.0757719138019697
3020,0.300398406374502,0.9591888466413181,1.0325464876949704,1.0455992266378966
4665,0.8144422310756972,0.7180766793409379,1.2424310467869608,1.2846434832261897
4809,0.39726807057484353,0.8902154626108999,1.0637935303093855,1.0681070725262414
4886,0.4051223676721685,0.9226869455006336,1.0585675289286651,1.0482031108965648
2491,0.8777335104028332,0.6373637515842838,1.3626725991187736,1.4654629637193057
691,0.805223550243471,0.6408336853964232,1.4428732476398975,1.4519758971192962
677,0.25805350028457597,0.9143979721166032,1.0473087468336877,1.065009458694857
2796,0.4071713147410358,0.904359949302915,1.0747224056486715,1.058193955646043
404,0.29789413773477524,0.9376425855513308,1.0601413876126071,1.052011044323672
220,0.29857712009106435,0.9564005069708493,1.0448033855818244,1.0464428681991973
1951,0.8237450199203188,0.651700887198986,1.4635965796900254,1.4274518306890265
319,0.3907797381900968,0.9018250950570341,1.0293088501779877,1.0610460110469813
690,0.2980079681274901,0.9520912547528518,1.0532064828454897,1.047584710802766
2710,0.2989186112692089,0.9546261089987325,1.0610547353509374,1.0468378790814126
2458,0.29436539556061475,0.9657794676806083,1.065751851877095,1.044950473872392
4681,0.8521469676848166,0.6702295451344881,1.4036686876692834,1.3864969487704264
2492,0.2975526465566307,0.9723700887198986,0.9882341833548888,1.0435083741032152
406,0.40523619806488337,0.9214448669201519,1.0446630066019391,1.048818799184763
1234,0.29937393284006836,0.9822560202788339,1.0173486564116223,1.0421449764558437
470,0.2956175298804781,0.926235741444867,1.046471477431915,1.0565685742926663
16,0.40535002845759815,0.9431432192648922,1.037763745343887,1.0391719335379985
18,0.29800796812749014,0.9657794676806083,1.061360578681824,1.044531943606045
2727,0.25737051792828686,0.931001267427123,1.0342830573867756,1.058239859209881
2622,0.2998292544109277,0.9863117870722431,1.0218939797451674,1.0417824087377667
3366,0.4071713147410359,0.9190874524714828,1.0491446412937326,1.0498593287653915
